INCIDENT_ID;DATE;X_1;X_2;X_3;X_4;X_5;X_6;X_7;X_8;X_9;X_10;X_11;X_12;X_13;X_14;X_15;MULTIPLE_OFFENSE
CR_102659;4/7/2004;0;36;34;2;1;5;6;1;6;1;174;1;92;29;36;0
CR_189752;18/7/2017;1;37;37;0;0;11;17;1;6;1;236;1;103;142;34;1
CR_184637;15/3/2017;0;3;2;3;5;1;0;2;3;1;174;1;110;93;34;1
CR_139071;13/2/2009;0;33;32;2;1;7;1;1;6;1;249;1;72;29;34;1
CR_109335;13/4/2005;0;33;32;2;1;8;3;0;5;1;174;0;112;29;43;1
CR_96263;7/4/2003;0;45;45;10;3;1;0;1;6;1;303;1;72;62;34;1
CR_131400;22/1/2008;0;30;35;7;3;7;1;0;5;1;174;0;112;29;43;1
CR_11981;14/5/1993;0;8;7;7;3;9;8;0;5;1;316;1;72;62;34;1
CR_184134;21/8/2016;0;49;49;6;5;8;3;1;1;1;316;1;103;14;34;1
CR_32634;25/8/1996;1;4;4;6;5;15;10;0;5;2;145;1;103;29;34;0
CR_83843;18/9/2002;1;4;4;6;5;15;10;1;6;1;174;1;103;130;34;1
CR_7439;4/3/1992;0;33;32;2;1;5;6;0;5;1;174;0;72;93;48;1
CR_192564;9/1/2018;0;4;4;6;5;5;6;0;5;3;174;3;42;29;34;1
CR_148567;3/12/2011;1;4;4;6;5;15;10;0;5;1;174;0;18;133;46;1
CR_106537;23/11/2005;0;7;8;7;3;2;7;3;2;1;316;1;72;62;34;1
CR_38406;7/3/1996;0;36;34;2;1;4;2;1;6;1;249;1;92;29;34;1
CR_131018;24/1/2008;0;25;25;9;0;4;2;2;6;1;0;1;72;29;34;1
CR_2678;20/8/1991;0;36;34;2;1;1;0;1;2;1;0;1;92;142;34;1
CR_140183;31/8/2009;1;37;37;0;0;11;17;0;5;1;174;1;103;115;34;1
CR_11185;15/10/1993;0;3;2;3;5;1;0;1;6;1;249;1;2;29;34;1
CR_6085;8/3/1992;0;21;23;4;1;5;6;1;6;1;174;0;18;53;46;1
CR_124930;21/6/2007;0;36;34;2;1;1;0;0;5;2;174;0;92;93;43;1
CR_64035;11/12/1999;0;47;48;7;3;4;2;1;6;1;316;1;98;62;34;1
CR_85661;1/3/2002;5;22;22;7;3;13;18;1;6;1;316;1;92;29;34;1
CR_31901;7/4/1995;0;49;49;6;5;5;6;0;5;1;249;1;67;29;34;1
CR_73049;28/5/2001;0;4;4;6;5;3;5;0;5;1;174;1;72;80;34;1
CR_148441;11/7/2011;0;4;4;6;5;3;5;0;5;1;0;1;103;142;34;1
CR_99283;3/7/2004;0;15;14;3;5;4;2;0;5;1;174;0;116;133;0;1
CR_152644;16/8/2011;0;36;34;2;1;1;0;1;2;1;316;1;92;62;34;1
CR_187216;25/7/2017;0;21;23;4;1;4;2;0;5;1;174;0;111;103;43;1
CR_165321;23/8/2013;1;37;37;0;0;11;17;1;6;1;127;1;103;77;34;1
CR_198473;27/9/2018;0;49;49;6;5;2;7;3;5;2;249;2;72;107;34;1
CR_92787;4/4/2003;7;21;23;4;1;9;8;2;6;3;174;3;112;14;34;1
CR_64799;13/2/2000;0;4;4;6;5;7;1;0;5;1;316;1;72;62;34;1
CR_193653;21/4/2018;0;16;15;0;0;8;3;1;6;1;0;1;12;6;34;1
CR_115118;14/10/2006;5;22;22;7;3;16;12;1;6;2;0;2;34;29;34;1
CR_109887;15/4/2005;0;36;34;2;1;6;4;1;2;1;316;1;92;142;34;1
CR_139996;19/5/2009;1;37;37;0;0;11;17;1;1;1;299;1;103;130;34;1
CR_173928;7/5/2015;0;11;11;7;3;3;5;2;5;1;316;1;12;62;34;1
CR_104980;14/9/2005;0;4;4;6;5;5;6;2;6;1;174;1;103;29;34;1
CR_70088;5/7/2000;0;36;34;2;1;1;0;1;6;1;249;1;92;93;34;1
CR_8305;12/1/1992;0;36;34;2;1;4;2;0;2;1;299;1;92;142;34;1
CR_65586;7/4/2000;0;4;4;6;5;4;2;1;6;2;249;2;72;62;34;1
CR_9159;9/5/1992;1;36;34;2;1;15;10;0;2;1;316;1;92;130;34;1
CR_31819;7/10/1995;0;48;47;4;1;7;1;1;6;4;158;2;103;62;34;0
CR_16865;29/8/1993;0;39;39;6;5;4;2;1;6;2;249;2;103;80;34;1
CR_21510;4/5/1994;0;33;32;2;1;9;8;1;6;1;249;1;103;29;34;1
CR_156814;21/7/2012;0;21;23;4;1;4;2;1;6;6;12;6;103;80;34;0
CR_27032;19/4/1995;0;16;15;0;0;1;0;2;2;1;316;1;72;142;34;1
CR_136415;21/6/2009;0;5;5;3;5;3;5;1;6;2;249;2;103;29;34;1
CR_163234;9/10/2013;0;21;23;4;1;2;7;3;2;1;249;1;2;87;34;1
CR_9501;25/4/1992;0;38;38;10;3;3;5;3;6;1;0;1;72;0;34;1
CR_146805;26/3/2010;0;38;38;10;3;7;1;0;5;1;174;1;103;142;34;1
CR_26119;19/10/1995;0;4;4;6;5;2;7;1;6;1;249;1;112;29;34;1
CR_23885;29/10/1994;0;46;46;3;5;7;1;0;5;1;74;0;113;142;0;1
CR_146067;24/6/2010;0;36;34;2;1;1;0;1;2;1;0;1;92;80;34;1
CR_57991;6/2/1999;1;4;4;6;5;15;10;0;5;1;174;1;109;93;34;1
CR_61821;7/7/1999;0;33;32;2;1;6;4;0;5;1;174;0;72;93;48;1
CR_163348;30/6/2013;0;22;22;7;3;7;1;2;6;2;0;2;98;103;34;1
CR_115060;4/9/2006;1;22;22;7;3;15;10;0;5;1;174;1;72;93;34;1
CR_125510;13/2/2007;1;39;39;6;5;15;10;1;6;1;249;1;72;80;34;1
CR_31500;17/6/1995;0;45;45;10;3;3;5;2;5;1;249;1;103;29;34;1
CR_143839;14/8/2010;0;19;19;1;3;6;4;1;6;1;249;1;103;29;34;1
CR_13905;14/11/1993;1;22;22;7;3;15;10;2;2;1;303;1;112;142;34;1
CR_96422;17/2/2003;1;47;48;7;3;15;10;0;5;1;174;0;92;29;0;1
CR_40981;20/6/1997;0;3;2;3;5;1;0;1;6;1;249;1;103;62;34;1
CR_135371;26/7/2009;0;4;4;6;5;5;6;0;5;1;174;1;103;29;34;1
CR_193865;19/9/2018;1;18;18;9;0;13;18;1;6;2;249;2;112;142;34;1
CR_36425;29/2/1996;0;22;22;7;3;2;7;2;2;1;303;1;72;142;34;1
CR_132260;1/2/2008;0;35;30;3;5;1;0;0;5;1;249;1;103;29;34;1
CR_111595;25/5/2005;0;47;48;7;3;5;6;1;2;1;249;0;24;124;34;1
CR_10212;18/2/1992;0;45;45;10;3;8;3;4;6;1;174;0;112;29;48;1
CR_136916;10/4/2009;7;9;10;7;3;9;8;1;5;1;249;1;103;130;34;1
CR_129407;3/3/2008;0;15;14;3;5;5;6;0;5;1;174;0;92;130;0;1
CR_109921;28/8/2005;1;36;34;2;1;15;10;0;5;1;174;0;92;29;43;1
CR_124579;11/12/2007;0;33;32;2;1;7;1;1;6;1;249;1;103;62;34;1
CR_89302;17/3/2002;0;49;49;6;5;4;2;1;6;1;316;1;103;29;34;1
CR_111975;17/11/2006;0;2;3;10;3;7;1;1;5;1;174;1;112;93;34;1
CR_40181;9/3/1996;0;45;45;10;3;3;5;1;6;1;174;0;103;29;43;1
CR_150519;16/3/2011;7;21;23;4;1;9;8;0;5;1;174;0;112;93;0;1
CR_149320;14/1/2011;0;4;4;6;5;2;7;0;5;1;174;1;72;93;34;1
CR_110063;12/3/2005;0;36;34;2;1;1;0;0;5;1;174;0;92;93;43;1
CR_161303;11/8/2013;0;4;4;6;5;6;4;1;6;1;174;1;116;14;34;1
CR_105501;25/1/2005;0;4;4;6;5;6;4;2;6;1;174;0;18;138;46;1
CR_156703;9/8/2012;0;21;23;4;1;2;7;0;5;1;249;1;116;29;34;1
CR_173522;3/12/2015;0;4;4;6;5;4;2;2;2;1;316;1;72;142;34;1
CR_90274;22/2/2003;0;4;4;6;5;3;5;2;3;1;249;1;103;103;34;1
CR_180050;30/9/2016;0;16;15;0;0;1;0;4;6;1;249;1;72;29;34;1
CR_125634;4/1/2007;0;39;39;6;5;5;6;0;5;1;174;1;103;119;34;1
CR_126123;30/10/2007;0;44;44;1;3;2;7;1;2;1;0;1;34;107;34;1
CR_140250;30/7/2009;0;37;37;0;0;3;5;0;5;1;249;1;98;130;34;1
CR_22681;18/1/1994;0;37;37;0;0;4;2;1;6;1;249;1;103;29;34;1
CR_26604;27/4/1995;5;8;7;7;3;18;13;2;6;1;316;1;98;29;34;1
CR_140343;18/8/2009;0;38;38;10;3;6;4;1;6;1;316;1;98;87;34;1
CR_79772;4/5/2001;0;36;34;2;1;4;2;0;5;1;174;0;103;93;43;1
CR_115782;20/4/2006;0;24;24;0;0;7;1;1;1;2;249;2;59;130;34;1
CR_109842;23/11/2005;0;35;30;3;5;1;0;1;6;12;249;12;103;29;34;1
CR_71017;2/10/2000;0;40;40;2;1;5;6;1;6;1;316;1;103;80;34;1
CR_30680;25/7/1995;0;37;37;0;0;2;7;3;2;1;316;1;72;142;34;1
CR_51048;14/2/1998;0;8;7;7;3;6;4;0;5;1;174;1;72;29;34;1
CR_67471;21/10/2000;0;17;16;0;0;6;4;2;2;1;303;1;72;142;34;1
CR_198415;18/7/2018;0;49;49;6;5;2;7;1;6;1;174;0;72;93;23;1
CR_128020;7/5/2008;7;4;4;6;5;9;8;0;5;1;174;1;112;119;34;1
CR_13728;26/10/1993;1;22;22;7;3;15;10;0;5;1;174;1;103;62;34;1
CR_154888;25/3/2012;0;4;4;6;5;1;0;0;5;1;174;0;18;93;46;1
CR_138025;5/3/2009;0;24;24;0;0;4;2;1;2;1;316;1;72;119;34;1
CR_110879;17/11/2005;7;42;42;7;3;9;8;0;5;1;174;0;92;29;0;1
CR_149624;22/8/2011;0;5;5;3;5;2;7;1;6;1;249;1;103;29;34;1
CR_106684;6/5/2005;3;9;10;7;3;18;13;2;2;1;316;1;112;142;34;1
CR_122912;26/5/2007;0;24;24;0;0;4;2;1;5;1;316;1;92;115;34;1
CR_141175;8/10/2009;0;47;48;7;3;7;1;0;5;1;174;0;54;130;0;1
CR_156314;28/5/2012;0;18;18;9;0;3;5;0;5;1;174;1;103;29;34;1
CR_130943;11/5/2008;0;25;25;9;0;6;4;1;5;1;316;1;72;80;34;1
CR_74536;17/3/2001;0;4;4;6;5;1;0;0;5;1;249;1;98;93;34;1
CR_147016;24/2/2010;0;41;41;4;1;8;3;1;6;1;316;1;72;103;34;1
CR_22782;10/8/1994;0;37;37;0;0;2;7;1;2;2;249;2;72;142;34;1
CR_61811;4/2/1999;0;33;32;2;1;6;4;0;5;1;174;0;116;103;0;1
CR_54282;4/12/1998;1;36;34;2;1;11;17;0;5;1;249;1;92;130;34;1
CR_85140;1/12/2002;7;21;23;4;1;9;8;0;5;1;174;0;112;93;34;1
CR_121452;1/3/2007;0;7;8;7;3;2;7;1;2;1;316;1;2;87;34;1
CR_37965;26/3/1996;0;33;32;2;1;7;1;1;6;1;316;1;112;29;34;1
CR_195163;8/7/2018;1;25;25;9;0;16;12;1;1;1;249;1;109;87;34;1
CR_55349;5/10/1998;0;39;39;6;5;6;4;2;6;2;316;2;12;62;34;1
CR_121685;18/2/2007;1;9;10;7;3;15;10;2;6;1;174;1;92;107;34;1
CR_141805;24/12/2010;0;3;2;3;5;1;0;1;6;1;316;1;103;142;34;1
CR_17670;6/12/1993;0;45;45;10;3;3;5;0;5;1;249;1;103;130;34;1
CR_160737;29/10/2012;0;49;49;6;5;2;7;0;5;1;328;1;103;0;34;1
CR_185799;1/8/2017;1;4;4;6;5;16;12;2;6;1;316;1;87;80;34;1
CR_125521;13/1/2007;1;39;39;6;5;11;17;0;5;1;174;0;92;93;0;1
CR_153038;20/12/2011;0;37;37;0;0;9;8;2;6;2;316;2;54;107;34;1
CR_155305;14/5/2012;0;4;4;6;5;2;7;1;6;1;0;1;72;107;34;1
CR_158306;27/9/2012;0;33;32;2;1;6;4;0;5;1;174;0;103;93;43;1
CR_36604;13/6/1996;0;24;24;0;0;7;1;1;0;1;0;1;54;142;34;1
CR_32660;11/12/1996;0;4;4;6;5;6;4;1;6;1;316;1;72;80;34;1
CR_156654;23/11/2012;0;21;23;4;1;6;4;1;6;1;249;1;72;29;34;1
CR_33454;6/10/1996;0;4;4;6;5;4;2;0;5;1;174;0;112;93;48;1
CR_47976;3/8/1997;0;43;43;9;0;4;2;0;5;4;60;2;109;124;9;0
CR_94689;29/6/2003;0;36;34;2;1;5;6;1;6;1;249;1;92;29;34;1
CR_94650;5/7/2003;0;35;30;3;5;1;0;1;6;3;0;3;92;80;34;1
CR_98604;9/10/2004;0;4;4;6;5;5;6;1;6;1;0;1;103;29;34;1
CR_172461;7/1/2015;0;3;2;3;5;1;0;0;5;1;174;0;18;133;46;1
CR_137008;2/3/2009;0;16;15;0;0;8;3;1;6;1;0;1;103;29;34;1
CR_128037;25/7/2008;0;4;4;6;5;4;2;0;5;1;174;1;72;119;34;1
CR_198398;20/8/2018;0;49;49;6;5;2;7;1;6;3;249;3;48;119;34;1
CR_122485;10/9/2007;0;21;23;4;1;2;7;0;5;1;174;1;72;93;34;1
CR_616;1/5/1991;0;21;23;4;1;4;2;2;6;2;316;2;92;80;34;1
CR_117108;7/4/2006;0;35;30;3;5;1;0;1;2;1;316;1;84;142;34;1
CR_77292;9/6/2001;0;23;21;4;1;5;6;1;6;1;249;1;113;29;34;1
CR_166186;29/12/2013;0;45;45;10;3;2;7;1;6;1;0;1;103;107;34;1
CR_60652;31/5/1999;1;24;24;0;0;11;17;2;6;1;249;1;103;93;34;1
CR_80683;3/12/2001;0;42;42;7;3;7;1;0;5;1;74;0;34;115;0;1
CR_47142;29/5/1997;1;36;34;2;1;15;10;1;5;1;249;1;92;93;34;1
CR_76914;11/3/2001;0;21;23;4;1;2;7;1;5;1;249;1;103;29;34;1
CR_164716;12/7/2013;0;35;30;3;5;4;2;2;2;1;0;1;24;80;34;1
CR_190662;5/7/2017;0;45;45;10;3;8;3;1;6;4;0;4;72;79;34;1
CR_11906;2/9/1993;0;6;6;4;1;4;2;0;5;1;249;1;103;130;34;1
CR_163667;27/1/2013;0;24;24;0;0;5;6;2;5;1;249;1;103;93;34;1
CR_33133;22/2/1996;0;4;4;6;5;1;0;1;6;1;316;1;72;80;34;1
CR_120041;8/3/2007;0;4;4;6;5;4;2;0;5;1;174;0;116;119;0;1
CR_101289;8/6/2004;0;28;28;3;5;5;6;1;6;1;316;1;112;77;34;1
CR_83167;15/5/2002;7;4;4;6;5;9;8;0;5;1;249;1;112;93;34;1
CR_14181;18/8/1993;0;24;24;0;0;5;6;1;6;1;249;1;72;29;34;1
CR_133994;14/7/2008;0;44;44;1;3;7;1;1;2;1;249;1;109;29;34;1
CR_36450;1/9/1996;0;23;21;4;1;6;4;1;6;2;263;2;72;29;34;0
CR_73320;6/1/2001;0;4;4;6;5;1;0;1;6;1;249;1;103;29;34;1
CR_64657;1/2/2000;0;3;2;3;5;3;5;1;5;1;249;1;92;62;34;1
CR_34024;25/11/1996;0;4;4;6;5;2;7;1;1;1;303;1;72;62;34;1
CR_189499;10/2/2017;0;36;34;2;1;1;0;1;5;1;174;;103;93;43;1
CR_56345;9/8/1998;0;49;49;6;5;6;4;1;6;1;249;1;103;29;34;1
CR_152601;16/6/2011;0;36;34;2;1;1;0;0;5;1;249;1;103;93;34;1
CR_167182;3/2/2014;0;4;4;6;5;5;6;0;5;1;249;1;98;29;34;1
CR_185663;12/1/2017;1;4;4;6;5;15;10;0;5;1;249;1;103;29;34;1
CR_102000;9/12/2004;0;33;32;2;1;8;3;3;5;3;249;3;92;87;34;1
CR_158872;10/1/2012;0;36;34;2;1;1;0;0;5;2;174;0;103;93;43;1
CR_481;12/4/1991;0;16;15;0;0;1;0;1;5;1;316;1;112;29;34;1
CR_46902;2/4/1997;0;36;34;2;1;1;0;1;2;1;0;1;92;142;34;1
CR_50075;13/5/1998;0;4;4;6;5;3;5;1;6;1;316;1;72;29;34;1
CR_24132;7/1/1994;3;49;49;6;5;9;8;1;6;1;249;1;2;29;34;1
CR_173451;26/4/2015;1;4;4;6;5;16;12;0;5;1;174;0;103;93;43;1
CR_46043;8/4/1997;0;33;32;2;1;5;6;0;5;1;174;0;18;138;46;1
CR_76699;12/10/2001;0;21;23;4;1;5;6;1;6;1;316;1;2;29;34;1
CR_94028;29/12/2003;0;33;32;2;1;6;4;0;5;1;174;0;18;93;46;1
CR_164179;15/10/2013;0;31;36;9;0;6;4;0;5;1;162;0;113;142;0;1
CR_128762;17/3/2008;0;5;5;3;5;4;2;0;5;1;174;1;103;93;34;1
CR_17159;3/4/1993;0;40;40;2;1;1;0;1;5;1;174;1;92;93;34;1
CR_198161;20/1/2018;0;49;49;6;5;5;6;1;1;1;0;1;103;29;34;1
CR_77190;9/8/2001;1;22;22;7;3;15;10;0;5;1;174;1;103;29;34;1
CR_16390;26/2/1993;7;36;34;2;1;9;8;1;6;1;249;1;92;80;34;1
CR_19758;1/5/1994;0;15;14;3;5;8;3;2;6;2;249;2;103;29;34;1
CR_91159;15/5/2003;0;4;4;6;5;2;7;1;2;1;249;1;72;142;34;1
CR_50742;19/7/1998;0;4;4;6;5;4;2;1;6;1;174;1;103;93;34;1
CR_98434;12/9/2004;0;4;4;6;5;2;7;1;6;1;316;1;116;62;34;1
CR_137521;29/1/2009;0;21;23;4;1;6;4;1;6;1;174;0;18;93;46;1
CR_136155;2/2/2009;0;4;4;6;5;5;6;1;5;1;249;1;24;142;34;1
CR_147383;14/11/2010;0;45;45;10;3;5;6;3;6;1;0;1;98;142;34;1
CR_100541;28/1/2004;0;24;24;0;0;6;4;2;6;2;0;0;103;29;34;1
CR_118306;6/7/2006;1;42;42;7;3;12;16;0;5;1;127;1;103;115;34;1
CR_64574;3/3/2000;0;3;2;3;5;1;0;2;6;1;316;1;72;29;34;1
CR_12838;18/6/1993;0;16;15;0;0;8;3;1;2;1;316;1;72;29;34;1
CR_93341;23/7/2003;0;24;24;0;0;5;6;1;2;1;249;0;98;142;34;1
CR_197211;11/3/2018;5;40;40;2;1;16;12;1;6;1;249;1;58;29;34;1
CR_67809;5/4/2000;0;21;23;4;1;7;1;0;5;1;174;0;112;93;43;1
CR_110981;29/6/2005;1;44;44;1;3;11;17;1;5;1;174;0;103;29;34;1
CR_158034;10/10/2012;0;33;32;2;1;7;1;0;5;1;174;0;116;62;0;1
CR_10150;29/7/1992;0;45;45;10;3;7;1;1;2;1;174;1;72;142;34;1
CR_97610;14/1/2004;0;4;4;6;5;1;0;1;6;1;316;1;34;130;34;1
CR_92038;29/11/2003;0;16;15;0;0;5;6;0;5;1;174;0;103;29;43;1
CR_139261;21/3/2009;0;33;32;2;1;5;6;0;5;1;174;0;92;62;43;1
CR_19288;18/11/1994;0;6;6;4;1;4;2;0;5;1;249;1;103;62;34;1
CR_117256;13/6/2006;1;36;34;2;1;15;10;0;5;2;174;0;92;93;0;1
CR_176619;26/9/2015;0;37;37;0;0;8;3;1;6;2;231;2;98;77;34;1
CR_10136;7/6/1992;0;45;45;10;3;2;7;1;6;1;316;1;72;80;34;1
CR_93485;14/8/2003;0;24;24;0;0;4;2;1;5;1;174;0;92;93;46;1
CR_166946;3/2/2014;0;3;2;3;5;1;0;1;6;1;316;1;109;62;34;1
CR_23846;6/9/1994;0;45;45;10;3;2;7;1;6;1;316;1;112;119;34;1
CR_35143;17/8/1996;0;16;15;0;0;6;4;1;5;1;249;1;103;29;34;1
CR_132712;15/10/2008;0;36;34;2;1;1;0;1;2;1;316;1;92;142;34;1
CR_108422;21/3/2005;0;24;24;0;0;5;6;1;6;1;249;1;72;29;34;1
CR_12091;15/11/1993;0;9;10;7;3;6;4;5;6;2;316;2;72;62;34;1
CR_625;7/6/1991;0;21;23;4;1;5;6;1;6;2;179;1;92;142;34;0
CR_159884;21/9/2012;0;44;44;1;3;4;2;1;6;1;299;1;92;80;34;1
CR_71220;13/10/2000;1;44;44;1;3;16;12;1;5;1;174;0;112;29;23;1
CR_51361;17/9/1998;0;15;14;3;5;7;1;1;6;1;316;1;112;93;34;1
CR_154424;6/2/2012;0;3;2;3;5;4;2;1;6;3;0;3;98;80;34;1
CR_63566;15/7/1999;0;45;45;10;3;6;4;0;5;1;174;1;103;29;34;1
CR_178864;7/6/2016;0;4;4;6;5;1;0;1;5;1;249;1;72;142;34;1
CR_130028;22/3/2008;0;21;23;4;1;2;7;1;5;1;249;1;103;142;34;1
CR_155157;2/5/2012;0;4;4;6;5;3;5;3;6;1;316;1;72;29;34;1
CR_59246;16/6/1999;1;9;10;7;3;15;10;1;2;1;0;1;72;107;34;1
CR_119761;21/3/2007;7;3;2;3;5;9;8;0;5;1;174;0;112;119;43;1
CR_149812;15/7/2011;0;7;8;7;3;2;7;1;2;1;316;1;72;62;34;1
CR_182348;12/8/2016;0;36;34;2;1;1;0;1;5;1;174;0;103;87;43;1
